TIME  ns, IN1, IN2
-135.742, 0.460677, 0.157837
-136.719, 0.515521, 0.200044
-137.695, 0.570365, 0.24225
-138.672, 0.625209, 0.284456
-139.648, 0.680052, 0.326662
-140.625, 0.714621, 0.348091
-141.602, 0.737783, 0.357831
-142.578, 0.760945, 0.367571
-143.555, 0.784107, 0.377311
-144.531, 0.807269, 0.387051
-145.508, 0.830431, 0.396791
-146.484, 0.853593, 0.40653
-147.461, 0.876755, 0.41627
-148.438, 0.909466, 0.421647
-149.414, 0.953944, 0.421647
-150.391, 0.998422, 0.421647
-151.367, 1.042899, 0.421647
-152.344, 1.087377, 0.421647
-153.32, 1.131855, 0.421647
-154.297, 1.176332, 0.421647
-155.273, 1.22081, 0.421647
-156.25, 1.249185, 0.421647
-157.227, 1.230752, 0.421647
-158.203, 1.21232, 0.421647
-159.18, 1.193887, 0.421647
-160.156, 1.175455, 0.421647
-161.133, 1.157022, 0.421647
-162.109, 1.13859, 0.421647
-163.086, 1.120157, 0.421647
-164.063, 1.09971, 0.418739
-165.039, 1.04979, 0.373286
-166.016, 0.99987, 0.327834
-166.992, 0.94995, 0.282381
-167.969, 0.90003, 0.236928
-168.945, 0.850111, 0.191475
-169.922, 0.800191, 0.146022
-170.898, 0.750271, 0.100569
-171.875, 0.700351, 0.055116
-172.852, 0.679779, 0.083269
-173.828, 0.663517, 0.122228
-174.805, 0.647255, 0.161188
-175.781, 0.630993, 0.200147
-176.758, 0.614731, 0.239107
-177.734, 0.598469, 0.278067
-178.711, 0.582207, 0.317026
-179.688, 0.565945, 0.355986
-180.664, 0.541709, 0.341963
-181.641, 0.51372, 0.303003
-182.617, 0.485731, 0.264043
-183.594, 0.457743, 0.225084
-184.57, 0.429754, 0.186124
-185.547, 0.401765, 0.147165
-186.523, 0.373776, 0.108205
-187.5, 0.345787, 0.069245
-188.477, 0.319505, 0.047713
-189.453, 0.295015, 0.044466
-190.43, 0.270525, 0.041219
-191.406, 0.246035, 0.037973
-192.383, 0.221544, 0.034726
-193.359, 0.197054, 0.031479
-194.336, 0.172564, 0.028233
-195.312, 0.148074, 0.024986
-196.289, 0.125836, 0.02174
-197.266, 0.108959, 0.018493
-198.242, 0.092081, 0.015246
-199.219, 0.075204, 0.012
-200.195, 0.058326, 0.008753
-201.172, 0.041449, 0.005506
-202.148, 0.024571, 0.00226
-203.125, 0.007694, -0.000987
-204.102, -0.007786, 0.000492
-205.078, -0.01122, 0.042699
-206.055, -0.014654, 0.084905
-207.031, -0.018088, 0.127111
-208.008, -0.021522, 0.169317
-208.984, -0.024955, 0.211524
-209.961, -0.028389, 0.25373
-210.937, -0.031823, 0.295936
-211.914, -0.035257, 0.338142
-212.891, -0.136448, 0.309289
-213.867, -0.247075, 0.273575
-214.844, -0.357703, 0.237863
-215.82, -0.46833, 0.20215
-216.797, -0.578957, 0.166437
-217.773, -0.689585, 0.130724
-218.75, -0.800212, 0.095011
-219.727, -0.910839, 0.059298
-220.703, -0.97629, 0.014235
-221.68, -1.024169, -0.034465
-222.656, -1.072048, -0.083164
-223.633, -1.119927, -0.131864
-224.609, -1.167806, -0.180563
-225.586, -1.215685, -0.229263
-226.562, -1.263564, -0.277962
-227.539, -1.311443, -0.326662
-228.516, -1.362743, -0.353078
-229.492, -1.417101, -0.359571
-230.469, -1.471459, -0.366064
-231.445, -1.525817, -0.372558
-232.422, -1.580175, -0.379051
-233.398, -1.634533, -0.385544
-234.375, -1.688891, -0.392037
-235.352, -1.743249, -0.398531
-236.328, -1.766687, -0.419204
-237.305, -1.729012, -0.467904
-238.281, -1.691337, -0.516603
-239.258, -1.653663, -0.565303
