TIME μs, IN1, IN2
-5.82, -0.127645, 0.0227
-5.84, -1.137135, -0.26986
-5.859, -1.653291, -0.748596
-5.879, -0.982421, -0.34965
-5.898, -0.300139, -0.030492
-5.918, 1.211177, 0.341858
-5.938, 1.776694, 0.793997
-5.957, 1.578458, 0.395051
-5.977, 0.869638, 0.448243
-5.996, -1.287868, 0.049297
-6.016, -0.148875, 0.634419
-6.035, -2.135214, -0.775193
-6.055, -1.34519, -0.163475
-6.074, -0.196377, -0.34965
-6.094, -0.129237, -0.296457
-6.113, 2.163612, 0.501436
-6.133, 1.027802, 0.155683
-6.152, 1.203481, 0.793997
-6.172, 0.113317, 0.395051
-6.191, -1.379954, -0.748596
-6.211, -2.019245, -0.429439
-6.23, -2.12911, -0.828385
-6.25, 0.128443, -0.057089
-6.27, 0.589401, 0.740804
-6.289, 2.120886, 0.84719
-6.309, 2.065953, 0.873786
-6.328, 0.604528, 0.075893
-6.348, 0.006636, 0.0227
-6.367, -1.673725, -0.26986
-6.387, -1.764484, -1.147543
-6.406, -1.241693, -0.668807
-6.426, -0.448749, -0.136878
-6.445, 1.766609, 0.448243
-6.465, 1.003919, 0.341858
-6.484, 2.068342, 0.793997
-6.504, 0.942086, 0.155683
-6.523, -0.172758, 0.341858
-6.543, 0.11942, 0.341858
-6.563, -1.895845, -0.402842
-6.582, -0.407616, -0.110282
-6.602, -0.460957, -0.34965
