TIME ms,IN-Nor
131.348,0.418589447
130.859,0.232826447
130.371,-0.059087553
129.883,0.392051447
129.395,0.047062447
128.906,0.285901447
128.418,0.338976447
127.93,0.232826447
127.441,0.285901447
126.953,-0.218313553
126.465,0.285901447
125.977,-0.165237553
125.488,0.232826447
125,-0.191775553
124.512,0.100137447
124.023,0.365514447
123.535,-0.085625553
123.047,0.206288447
122.559,-0.324463553
122.07,0.100137447
121.582,-0.297926553
121.094,-0.085625553
120.605,-0.297926553
120.117,-0.138700553
119.629,0.020525447
119.141,-0.297926553
118.652,-0.112162553
118.164,-0.297926553
117.676,-0.059087553
117.187,-0.112162553
116.699,-0.404076553
116.211,0.047062447
115.723,-0.351001553
115.234,0.232826447
114.746,-0.218313553
114.258,-0.297926553
113.77,0.020525447
113.281,-0.377538553
112.793,0.259363447
112.305,-0.191775553
111.816,0.232826447
111.328,-0.006012553
110.84,0.365514447
110.352,-0.138700553
109.863,0.338976447
109.375,0.232826447
108.887,-0.297926553
108.398,0.179750447
107.91,0.020525447
107.422,0.445126447
106.934,-0.006012553
106.445,0.259363447
105.957,0.445126447
105.469,-0.112162553
104.98,0.285901447
104.492,0.206288447
104.004,0.206288447
103.516,0.232826447
103.027,0.020525447
102.539,0.259363447
102.051,-0.351001553
101.562,0.259363447
101.074,-0.218313553
100.586,-0.059087553
100.098,-0.377538553
99.609,-0.138700553
99.121,0.126675447
98.633,-0.404076553
98.145,0.073600447
97.656,-0.324463553
97.168,-0.218313553
96.68,-0.244850553
96.191,-0.218313553
95.703,0.020525447
95.215,-0.351001553
94.727,0.126675447
94.238,-0.351001553
93.75,-0.085625553
93.262,-0.138700553
92.773,-0.271388553
92.285,-0.085625553
91.797,-0.404076553
91.309,0.179750447
90.82,-0.377538553
90.332,0.206288447
89.844,0.047062447
89.355,-0.404076553
88.867,0.020525447
88.379,-0.165237553
87.891,0.259363447
87.402,-0.297926553
86.914,0.365514447
86.426,0.126675447
85.937,0.179750447
85.449,0.179750447
84.961,-0.138700553
84.473,0.259363447
83.984,-0.112162553
83.496,0.445126447
83.008,0.259363447
82.52,0.047062447
82.031,0.312438447
81.543,0.020525447
81.055,0.232826447
80.566,-0.404076553
80.078,0.206288447
79.59,0.338976447
79.102,-0.218313553
