TIME  ns, IN1, IN2
-474.927,-0.082681,0.236732
-476.865,-0.106865,0.165826
-478.804,-0.131048,0.09492
-480.742,-0.154919,0.076254
-482.681,-0.178716,0.069808
-484.619,-0.202514,0.063362
-486.558,-0.226311,0.056915
-488.496,-0.250021,0.050469
-490.435,-0.27369,0.044023
-492.373,-0.297358,0.037577
-494.312,-0.321027,0.031131
-496.25,-0.344732,0.028285
-498.188,-0.368465,0.028285
-500.127,-0.392198,0.028285
-502.065,-0.415932,0.028285
-504.004,-0.440388,-0.010731
-505.942,-0.465793,-0.100975
-507.881,-0.491198,-0.191219
-509.819,-0.516604,-0.281463
-511.758,-0.541832,-0.320372
-513.696,-0.566659,-0.24302
-515.635,-0.591485,-0.165668
-517.573,-0.616312,-0.088316
-519.512,-0.640964,-0.038853
-521.45,-0.664826,-0.116205
-523.389,-0.688688,-0.193557
-525.327,-0.71255,-0.270909
-527.266,-0.736303,-0.339869
-529.204,-0.758171,-0.262517
-531.143,-0.780039,-0.185165
-533.081,-0.801907,-0.107813
-535.02,-0.823775,-0.030461
-536.958,-0.847195,-0.096708
-538.896,-0.870736,-0.17406
-540.835,-0.894276,-0.251412
-542.773,-0.917816,-0.328764
-544.712,-0.939292,-0.354407
-546.65,-0.96026,-0.367299
-548.589,-0.981227,-0.380191
-550.527,-1.002195,-0.393083
-552.466,-1.024163,-0.397258
-554.404,-1.04661,-0.397258
-556.343,-1.069056,-0.397258
-558.281,-1.091503,-0.397258
-560.22,-1.113525,-0.397258
-562.158,-1.1352,-0.397258
-564.097,-1.156875,-0.397258
-566.035,-1.17855,-0.397258
-567.974,-1.200253,-0.397258
-569.912,-1.221992,-0.397258
-571.851,-1.243731,-0.397258
-573.789,-1.265471,-0.397258
-575.728,-1.286386,-0.397258
-577.666,-1.305359,-0.397258
-579.604,-1.324333,-0.397258
-581.543,-1.343307,-0.397258
-583.481,-1.361915,-0.397258
-585.42,-1.378766,-0.397258
-587.358,-1.395617,-0.397258
-589.297,-1.412469,-0.397258
-591.235,-1.429346,-0.397258
-593.174,-1.446777,-0.397258
-595.112,-1.464207,-0.397258
-597.051,-1.481637,-0.397258
-598.989,-1.499067,-0.397258
-600.928,-1.516556,-0.397258
-602.866,-1.53405,-0.397258
-604.805,-1.551545,-0.397258
-606.743,-1.569039,-0.397258
-608.682,-1.586584,-0.397258
-610.62,-1.604143,-0.397258
-612.559,-1.621702,-0.397258
-614.497,-1.63926,-0.397258
-616.436,-1.655015,-0.453228
-618.374,-1.669872,-0.537026
-620.313,-1.68473,-0.620824
-622.251,-1.699587,-0.704622
-624.189,-1.713782,-0.704589
-626.128,-1.727417,-0.633683
-628.066,-1.741053,-0.562777
-630.005,-1.754688,-0.491871
-631.943,-1.767173,-0.44509
-633.882,-1.778043,-0.432198
-635.82,-1.788913,-0.419306
-637.759,-1.799782,-0.406414
-639.697,-1.811267,-0.423413
-641.636,-1.824259,-0.513657
-643.574,-1.837251,-0.603901
-645.513,-1.850243,-0.694145
-647.451,-1.862856,-0.77172
-649.39,-1.873533,-0.784612
-651.328,-1.88421,-0.797504
-653.267,-1.894886,-0.810396
-655.205,-1.905522,-0.819394
-657.144,-1.915105,-0.729149
-659.082,-1.924688,-0.638905
-661.021,-1.934272,-0.548661
-662.959,-1.943855,-0.458417
-664.897,-1.952383,-0.438697
-666.836,-1.960808,-0.425805
-668.774,-1.969234,-0.412913
-670.713,-1.97766,-0.400021
-672.651,-1.983912,-0.397258
-674.59,-1.989572,-0.397258
-676.528,-1.995232,-0.397258
-678.467,-2.000892,-0.397258
-680.405,-2.0074,-0.45679
-682.344,-2.014347,-0.547034
-684.282,-2.021293,-0.637278
-686.221,-2.028239,-0.727522
-688.159,-2.033984,-0.776488
-690.098,-2.03868,-0.78938
-692.036,-2.043375,-0.802272
-693.975,-2.04807,-0.815164
-695.913,-2.051821,-0.822801
-697.852,-2.054201,-0.822801
-699.79,-2.056581,-0.822801
-701.729,-2.05896,-0.822801
-703.667,-2.060054,-0.79739
-705.605,-2.057868,-0.707146
-707.544,-2.055681,-0.616902
-709.482,-2.053494,-0.526658
-711.421,-2.051197,-0.462483
-713.359,-2.048303,-0.539835
-715.298,-2.045409,-0.617187
-717.236,-2.042514,-0.694539
-719.175,-2.039668,-0.767325
-721.113,-2.038381,-0.689973
-723.052,-2.037095,-0.612621
-724.99,-2.035808,-0.535269
-726.929,-2.034522,-0.457917
-728.867,-2.035037,-0.520338
-730.806,-2.035745,-0.59769
-732.744,-2.036452,-0.675042
-734.683,-2.03716,-0.752394
-736.621,-2.039417,-0.779631
-738.56,-2.042119,-0.792523
-740.498,-2.04482,-0.805415
-742.437,-2.047521,-0.818307
-744.375,-2.048798,-0.822801
-746.313,-2.049313,-0.822801
-748.252,-2.049827,-0.822801
-750.19,-2.050342,-0.822801
-752.129,-2.047376,-0.822801
-754.067,-2.041265,-0.822801
-756.006,-2.035155,-0.822801
-757.944,-2.029045,-0.822801
-759.883,-2.020854,-0.822801
-761.821,-2.009534,-0.822801
-763.76,-1.998215,-0.822801
-765.698,-1.986895,-0.822801
-767.637,-1.975803,-0.798134
-769.575,-1.96532,-0.70789
-771.514,-1.954836,-0.617646
